ChemicalFormula,Name
NaCl,sodium chloride
KI,potassium iodide
NaF,sodium fluoride
NaHCO3,sodium bicarbonate
Na2CO3,sodium carbonate
NaOCl,sodium hypochlorite
CaCO3,calcium carbonate
NaOH,sodium hydroxide
K3PO4,potassium phosphate
MgSO4,magnesium sulfate
Na2HPO4,sodium hydrogen phosphate
Na2SO3,sodium sulfite
FeCl3,iron(III) chloride
Hg2O,mercury(I) oxide
HgO,mercury(II) oxide
SO2,sulfur dioxide
BCl3,boron trichloride
SO3,sulfur trioxide
SF6,sulfur hexafluoride
NO2,nitrogen dioxide
PF5,phosphorus pentafluoride
N2O4,dinitrogen tetroxide
P4O10,tetraphosphorus decaoxide
N2O5,dinitrogen pentoxide
IF7,iodine heptafluoride
HC2H3O2,acetate
CH3COOH,acetic acid
HNO3,nitric acid
HNO2,nitrous acid
HClO4,perchloric acid
H2CO3,carbonic acid
H2SO4,sulfuric acid
H2SO3,sulfurous acid
H3PO4,phosphoric acid